PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,Ali Khan,1,-1.1868421058035343,0.38411063979868804,-0.5388159060803248,-0.9405605107969999,2
2,1,1,Sara Ahmed,0,0.7607962216689323,0.38411063979868804,-0.5388159060803248,1.7950329257840543,0
3,1,3,John Smith,0,-0.21302294206730105,-0.8962581595302719,-0.5388159060803248,-0.9063816141975177,2
4,0,1,Emma Brown,0,0.3956140352678448,0.38411063979868804,-0.5388159060803248,1.018317500560822,2
6,0,3,Aisha Patel,0,-1.552024292204622,-0.8962581595302719,-0.5388159060803248,-0.6948996914882217,2
7,1,1,Michael Jones,1,1.0042510126029907,0.38411063979868804,-0.5388159060803248,0.2663817753722143,2
9,1,2,Robert Wilson,1,-0.21302294206730105,-0.8962581595302719,-0.5388159060803248,-0.58809063961484,0
10,0,3,Sophia Davis,0,-0.6999325239354177,0.38411063979868804,-0.5388159060803248,-0.8316152778861504,2
11,1,1,Daniel Clark,1,1.6128879899381365,-0.8962581595302719,-0.5388159060803248,2.16758289871841,0
14,0,3,Mary Thomas,0,-0.09129554660027188,0.38411063979868804,-0.5388159060803248,-0.4812815877414582,1
16,0,2,Emily Moore,0,-0.3347503375343302,-0.8962581595302719,-0.5388159060803248,-0.6308142603641927,2
17,1,1,Adam Walker,1,0.5173414307348739,-0.8962581595302719,-0.5388159060803248,1.0994923799845921,0
19,1,2,Ryan Young,1,1.247705803537049,0.38411063979868804,-0.5388159060803248,-0.28902529436937097,2
20,0,3,Maya Khan,0,-0.5782051284683886,-0.8962581595302719,-0.5388159060803248,-0.9191987004223235,1
